partnerid,part.str,k
69,69 1,0.002274265
69,69 2,0.002117612
69,69 3,0.002029549
69,69 4,0.002406638
70,70 1,0.006497808
70,70 2,0.007468591
70,70 3,0.009206357
70,70 4,0.01122443
71,71 1,0.004115087
71,71 2,0.009558619
71,71 3,0.002428675
71,71 4,0.022641842
72,72 1,0.002843809
72,72 2,0.005478541
72,72 3,0.003195987
72,72 4,0.0027801
73,73 1,0.017529303
73,73 2,0.013274897
73,73 3,0.014087561
73,73 4,0.007697009
74,74 1,0.049883838
74,74 2,0.035930212
74,74 3,0.049944669
74,74 4,0.021744582
75,75 1,0.005318201
75,75 2,0.006759405
75,75 3,0.008294659
75,75 4,0.007687314
77,77 1,0.006868975
77,77 2,0.002241571
77,77 3,0.002116849
77,77 4,0.003289313
78,78 1,0.009034746
78,78 2,0.021749762
78,78 3,0.015433802
78,78 4,0.010168568
79,79 1,0.002069548
79,79 2,0.002048868
79,79 3,0.001533045
79,79 4,0.002626252
80,80 1,0.017872136
80,80 2,0.003062482
80,80 3,0.004649002
80,80 4,0.003799543
81,81 1,0.002131913
81,81 2,0.002108739
81,81 3,0.003033357
81,81 4,0.004074051
82,82 1,0.092043896
82,82 2,0.265601205
82,82 3,0.113208212
82,82 4,0.137611718
83,83 1,0.008105949
83,83 2,0.009762384
83,83 3,0.014910891
83,83 4,0.010528197
84,84 1,0.006798723
84,84 2,0.005547475
84,84 3,0.013685826
84,84 4,0.008543059
85,85 2,0.068198793
85,85 3,0.008538161
85,85 4,0.089738303
85,85 5,0.073193625
85,85 6,0.003295594
85,85 7,0.003218914
85,85 8,0.042513329
86,86 1,0.006813007
86,86 2,0.002986104
86,86 3,0.005177223
86,86 4,0.004280505
87,87 1,0.035998554
87,87 2,0.100880984
87,87 3,0.045715402
87,87 4,0.086209188
88,88 1,0.002363555
88,88 2,0.00573799
88,88 3,0.002301108
88,88 4,0.002527412
89,89 1,0.001833509
89,89 2,0.003149917
89,89 3,0.002882991
89,89 4,0.00236591
90,90 1,0.021082095
90,90 2,0.032693129
90,90 3,0.063331967
90,90 4,0.00394049
91,91 1,0.002767426
91,91 2,0.004898322
91,91 3,0.025837362
91,91 4,0.006419895
92,92 1,0.122685893
92,92 2,0.0647684
92,92 3,0.068597243
92,92 4,0.106866682
93,93 1,0.00303493
93,93 2,0.002960543
93,93 3,0.003250487
93,93 4,0.002914059
94,94 1,0.004602756
94,94 2,0.004091287
94,94 3,0.00315787
94,94 4,0.002645045
96,96 1,0.025914591
96,96 2,0.094102145
96,96 3,0.03134157
96,96 4,0.037206968
97,97 1,0.071325486
97,97 2,0.103042651
97,97 3,0.093244543
97,97 4,0.048831242
98,98 1,0.018298256
98,98 2,0.008607938
98,98 3,0.007245378
98,98 4,0.006948641
99,99 1,0.060821636
99,99 2,0.061223674
99,99 3,0.050578124
99,99 4,0.073301069
100,100 1,0.017916082
100,100 2,0.027479637
100,100 3,0.017376366
100,100 4,0.006860042
101,101 1,0.00854073
101,101 2,0.012070327
101,101 3,0.008620336
101,101 4,0.016015795
102,102 1,0.001843138
102,102 2,0.002859124
102,102 3,0.002364964
102,102 4,0.001858326
103,103 1,0.011836316
103,103 2,0.011743305
103,103 3,0.018786346
103,103 5,0.00392022
103,103 6,0.002992507
104,104 1,0.002369437
104,104 2,0.002822004
104,104 3,0.006992835
104,104 4,0.001888747
105,105 1,0.067118791
105,105 2,0.059017992
105,105 3,0.061311504
105,105 4,0.059831549
106,106 1,0.073852216
106,106 2,0.032772653
106,106 3,0.033279119
106,106 4,0.06020411
107,107 1,0.158822562
107,107 2,0.11804278
107,107 3,0.148979781
107,107 4,0.151114027
108,108 1,0.015681721
108,108 2,0.017274671
108,108 3,0.016349054
108,108 4,0.009947094
109,109 1,0.010499969
109,109 2,0.005460392
109,109 3,0.011133483
109,109 4,0.005742621
110,110 1,0.008831033
110,110 2,0.009667858
110,110 3,0.00816274
110,110 4,0.011097793
111,111 1,0.006977492
111,111 2,0.009461628
111,111 3,0.013548573
111,111 4,0.0114017
112,112 1,0.001888266
112,112 2,0.002065149
112,112 3,0.002325207
112,112 4,0.001970352
113,113 1,0.002649364
113,113 2,0.002192749
113,113 3,0.002622696
113,113 4,0.003612494
114,114 1,0.032747155
114,114 2,0.018471845
114,114 3,0.061783725
114,114 4,0.050350134
115,115 1,0.003639865
115,115 2,0.003756746
115,115 3,0.003022555
115,115 4,0.002757286
116,116 1,0.00147206
116,116 2,0.001593024
116,116 3,0.002005407
116,116 4,0.001430505
116,116 11,0.003138593
116,116 12,0.002785211
116,116 13,0.002458546
116,116 14,0.003182917
117,117 1,0.025651755
117,117 2,0.004359779
117,117 3,0.00880722
117,117 4,0.015289359
118,118 1,0.008115864
118,118 2,0.008511273
118,118 3,0.008552563
118,118 4,0.010298611
119,119 1,0.012256311
119,119 2,0.011866996
119,119 3,0.013701018
119,119 4,0.016648237
120,120 1,0.007710586
120,120 2,0.001823061
120,120 3,0.003302903
120,120 4,0.001821499
121,121 1,0.003843008
121,121 2,0.002614188
121,121 3,0.002411538
121,121 4,0.002576595
122,122 1,0.001863847
122,122 2,0.005240829
122,122 3,0.005766822
122,122 4,0.002385857
123,123 1,0.001617989
123,123 2,0.001358613
123,123 3,0.001197593
123,123 4,0.001336492
124,124 1,0.023544787
124,124 2,0.007776506
124,124 3,0.006878624
124,124 4,0.027877615
125,125 1,0.04745624
125,125 2,0.0396286
125,125 3,0.002091875
125,125 4,0.002403844
126,126 1,0.015128044
126,126 2,0.021467885
126,126 3,0.034188949
126,126 4,0.045012875
127,127 1,0.004067496
127,127 2,0.001811898
127,127 3,0.001916839
127,127 4,0.001992773
128,128 1,0.044006424
128,128 2,0.017057797
128,128 3,0.006515675
128,128 4,0.046423966
129,129 1,0.009827463
129,129 2,0.01723859
129,129 3,0.017761205
129,129 4,0.03368548
130,130 1,0.005442017
130,130 2,0.010296379
130,130 3,0.006350764
130,130 4,0.002983103
131,131 1,0.002609681
131,131 2,0.00181866
131,131 3,0.006721745
131,131 4,0.005697532
132,132 1,0.002387291
132,132 2,0.00324954
132,132 3,0.002185164
132,132 4,0.002301728
133,133 1,0.017601015
133,133 2,0.011292731
133,133 3,0.011948462
133,133 4,0.010717765
134,134 1,0.012342713
134,134 2,0.005096816
134,134 3,0.003509503
134,134 4,0.009356563
135,135 1,0.025129978
135,135 2,0.008622488
135,135 3,0.017316888
135,135 4,0.012111705
