partnerid,stream,habitat,block,maxT,stripid
57,3,RIP,U,68,3577
57,3,RIP,U,69.2,3584
57,4,STR,U,38.2,3521
57,4,STR,D,42.2,3523
57,4,STR,U,44.2,3525
57,4,STR,D,49.6,3534
57,4,RIP,D,65.6,3564
57,4,RIP,U,71.8,3596
57,4,RIP,D,73.1,3600
57,4,RIP,U,78.3,3604
57,5,STR,D,15.3,3504
57,5,STR,D,26.6,3511
57,5,STR,U,43.5,3524
57,5,STR,U,45.8,3530
57,5,RIP,D,68.6,3581
57,5,RIP,D,72.4,3597
57,5,RIP,U,75.1,3601
57,5,RIP,U,78.9,3605
57,6,STR,U,17.8,3506
57,6,STR,D,26.6,3512
57,6,STR,D,35,3516
57,6,RIP,D,44.9,3527
57,6,STR,U,46.6,3532
57,6,RIP,U,62.5,3550
57,6,RIP,U,69.3,3585
57,6,RIP,D,71.3,3593
57,7,STR,D,62.1,3547
57,7,STR,D,64.6,3559
57,7,STR,U,65.6,3565
57,7,STR,U,67.2,3571
57,7,RIP,D,67.4,3572
57,7,RIP,U,67.5,3573
57,7,RIP,D,67.6,3575
57,7,RIP,U,70.4,3587
57,8,STR,U,20.4,3508
57,8,STR,D,24.3,3510
57,8,STR,U,32.8,3515
57,8,STR,D,35.5,3518
57,8,RIP,U,59.3,3543
57,8,RIP,D,62.8,3552
57,8,RIP,D,65.7,3566
57,8,RIP,U,68.3,3579
57,9,STR,D,50,3535
57,9,STR,U,54,3538
57,9,STR,D,54.3,3539
57,9,STR,U,57.2,3541
57,9,RIP,D,62.2,3548
57,9,RIP,D,62.3,3549
57,9,RIP,U,63.7,3556
57,9,RIP,U,65,3560
57,10,STR,D,16.5,3505
57,10,STR,D,22.2,3509
57,10,STR,U,32.5,3514
57,10,STR,U,37.2,3520
57,10,RIP,D,58.1,3542
57,10,RIP,D,62.5,3551
57,10,RIP,U,62.8,3553
57,10,RIP,U,66.6,3570
57,11,STR,D,37.1,3519
57,11,STR,U,45.4,3528
57,11,RIP,U,45.7,3529
57,11,STR,U,46.3,3531
57,11,STR,D,46.7,3533
57,11,RIP,D,55.7,3540
57,11,RIP,D,61.3,3546
57,11,RIP,U,71.7,3595
57,12,STR,U,50.4,3536
57,12,STR,U,52.1,3537
57,12,RIP,D,59.9,3544
57,12,STR,D,60.2,3545
57,12,RIP,U,63,3554
57,12,RIP,U,63.2,3555
57,12,STR,D,64.1,3557
57,12,RIP,D,66.1,3567
57,0,,,6.9,3500
57,0,,,65.3,3561
57,0,,,65.5,3563
57,0,,,66.1,3568
57,0,,,66.1,3569
57,0,,,67.5,3574
57,0,,,67.9,3576
57,0,,,68.8,3582
57,0,,,70.4,3588
57,0,,,70.6,3589
57,0,,,71.6,3594
57,0,,,72.5,3598
57,0,,,73,3599
57,0,,,75.1,3602
57,0,,,75.5,3603
58,1,STR,D,10.5,3647
58,1,STR,D,12.8,3648
58,1,STR,U,21.2,3650
58,1,STR,U,26.9,3652
58,1,RIP,D,34.1,3663
58,1,RIP,U,34.2,3664
58,1,RIP,U,34.3,3665
58,1,RIP,D,34.9,3666
58,2,RIP,U,28.6,3653
58,2,RIP,U,28.8,3655
58,2,RIP,D,28.9,3656
58,2,RIP,D,32.1,3661
58,3,STR,D,1.8,3645
58,3,STR,D,2.2,3646
58,3,RIP,D,25.1,3651
58,3,RIP,D,30.4,3658
58,3,RIP,U,33.9,3662
58,3,RIP,U,37.7,3669
58,4,STR,D,1.1,3642
58,4,STR,D,1.5,3643
58,4,STR,U,1.6,3644
58,4,RIP,D,19.1,3649
58,4,RIP,D,28.6,3654
58,4,RIP,U,30.5,3659
58,4,RIP,U,30.6,3660
59,1,STR,D,46.1,3685
59,1,STR,U,46.8,3687
59,1,STR,D,48,3691
59,1,RIP,D,48.3,3693
59,1,RIP,U,48.7,3695
59,1,STR,U,48.8,3696
59,1,RIP,U,53.9,3703
59,1,RIP,D,55.4,3705
59,2,STR,U,19.2,3671
59,2,STR,D,19.5,3672
59,2,STR,U,23.8,3673
59,2,STR,D,29.7,3676
59,2,RIP,U,44.5,3683
59,2,RIP,D,47.2,3688
59,2,RIP,D,47.4,3690
59,2,RIP,U,53.3,3701
59,3,STR,U,25.7,3674
59,3,STR,U,29.6,3675
59,3,STR,D,35.1,3677
59,3,RIP,D,44.2,3681
59,3,RIP,D,49.3,3697
59,3,RIP,U,51.5,3699
59,3,RIP,U,55.1,3704
59,4,STR,U,38.8,3678
59,4,RIP,U,40.8,3679
59,4,STR,U,42.3,3680
59,4,RIP,D,44.2,3682
59,4,STR,D,44.7,3684
59,4,RIP,U,46.1,3686
59,4,STR,D,47.2,3689
59,4,RIP,D,48.2,3692
60,1,STR,U,8,3781
60,1,STR,U,12.9,3782
60,1,STR,D,15.3,3783
60,1,STR,D,17.9,3784
60,1,RIP,U,27.4,3787
60,1,RIP,U,28.8,3789
60,1,RIP,D,38.3,3793
60,1,RIP,D,47.1,3800
60,2,STR,U,22.1,3785
60,2,STR,U,28.7,3788
60,2,STR,D,33.9,3791
60,2,STR,D,41.9,3794
60,2,RIP,U,45.5,3797
60,2,RIP,D,47,3798
60,2,RIP,U,48.8,3801
60,2,RIP,D,55.7,3807
60,3,STR,D,37.9,3792
60,3,STR,U,42.4,3795
60,3,STR,D,42.4,3796
60,3,RIP,U,47,3799
60,3,RIP,D,50.9,3802
60,3,RIP,D,51,3803
60,3,STR,U,51.6,3804
60,3,RIP,U,53.9,3806
60,4,STR,D,2.7,3777
60,4,STR,U,3,3778
60,4,STR,U,4.2,3779
60,4,STR,D,6.5,3780
60,4,RIP,D,25.7,3786
60,4,RIP,U,32.4,3790
60,4,RIP,U,51.8,3805
60,4,RIP,D,60.8,3810
61,1,RIP,U,40.4,3851
61,1,STR,U,40.7,3852
61,1,RIP,U,43,3854
61,1,STR,D,45.5,3860
61,1,STR,D,46.9,3865
61,1,RIP,D,47.1,3866
61,1,RIP,D,47.3,3867
61,1,STR,U,48.2,3871
61,2,RIP,D,40.3,3850
61,2,STR,D,46.3,3863
61,2,RIP,D,47.8,3869
61,2,STR,U,49.2,3873
61,2,STR,U,49.4,3874
61,2,RIP,U,49.5,3875
61,2,RIP,U,50.6,3877
61,2,STR,D,52,3878
61,3,STR,U,43.9,3857
61,3,STR,U,44.3,3858
61,3,STR,D,44.4,3859
61,3,RIP,D,45.7,3861
61,3,STR,D,46.2,3862
61,3,RIP,U,46.3,3864
61,3,RIP,U,47.3,3868
61,3,RIP,D,48,3870
61,4,RIP,D,41.4,3853
61,4,STR,U,43.3,3855
61,4,RIP,D,43.8,3856
61,4,STR,U,48.4,3872
61,4,RIP,U,49.7,3876
61,4,STR,D,53.6,3879
61,4,STR,D,53.8,3880
62,1,STR,U,59.3,3923
62,1,RIP,D,60.5,3926
62,1,STR,U,61.5,3927
62,1,RIP,U,64.3,3933
62,1,RIP,D,65,3937
62,1,STR,D,66.3,3940
62,1,RIP,U,68.6,3944
62,1,STR,D,68.7,3946
62,2,RIP,U,60.3,3925
62,2,STR,U,62.1,3928
62,2,RIP,D,62.5,3930
62,2,RIP,D,62.5,3931
62,2,RIP,U,62.6,3932
62,2,STR,U,67.5,3941
62,2,STR,D,68.6,3945
62,2,STR,D,70,3949
62,3,RIP,D,36.4,3919
62,3,RIP,D,56.2,3921
62,3,RIP,U,58.6,3922
62,3,STR,U,65.7,3938
62,3,RIP,U,68.1,3942
62,3,STR,D,68.1,3943
62,3,STR,D,68.8,3947
62,3,STR,U,72,3950
62,4,RIP,U,49.2,3920
62,4,STR,U,59.5,3924
62,4,STR,U,62.3,3929
62,4,STR,D,64.4,3934
62,4,STR,D,64.5,3935
62,4,RIP,D,64.9,3936
62,4,RIP,D,65.9,3939
62,4,RIP,U,69.6,3948
63,1,RIP,D,21.2,3951
63,1,STR,D,64.1,3958
63,1,RIP,U,64.2,3959
63,1,STR,U,64.3,3960
63,1,STR,U,64.3,3961
63,1,RIP,D,65.8,3963
63,1,RIP,U,67,3965
63,1,STR,D,69.6,3966
63,2,RIP,U,56.3,3952
63,2,RIP,D,60.5,3953
63,2,RIP,U,61.4,3954
63,2,STR,D,61.5,3955
63,2,STR,D,61.7,3956
63,2,STR,U,63.2,3957
63,2,RIP,D,64.4,3962
63,2,STR,U,66.9,3964
63,0,,,70.3,3967
63,0,,,73.6,3968
63,0,,,76.2,3969
63,0,,,76.4,3970
63,0,,,78,3971
63,0,,,79.2,3972
64,1,STR,U,15.7,3974
64,1,STR,D,19.3,3976
64,1,STR,D,21.4,3977
64,1,STR,U,23.9,3978
64,1,RIP,D,43.4,3984
64,1,RIP,D,56.2,3989
64,1,RIP,U,69.1,4001
64,1,RIP,U,72.5,4005
64,2,RIP,D,37.6,3980
64,2,RIP,U,38.6,3981
64,2,RIP,U,40,3982
64,2,RIP,D,51.8,3987
64,2,STR,D,54,3988
64,2,STR,U,59.3,3992
64,2,STR,U,60.5,3993
64,2,STR,D,65.2,3997
64,3,RIP,D,33.4,3979
64,3,STR,U,41.3,3983
64,3,RIP,D,47.5,3985
64,3,STR,U,49.2,3986
64,3,STR,D,56.2,3990
64,3,RIP,U,58.4,3991
64,3,RIP,U,61.6,3994
64,3,STR,D,63.4,3996
64,4,STR,D,10.6,3973
64,4,STR,D,18,3975
64,4,RIP,D,63.1,3995
64,4,RIP,U,65.4,3998
64,4,RIP,U,66.4,3999
64,4,RIP,D,68.2,4000
64,0,,,69.3,4002
64,0,,,71.9,4003
64,0,,,72,4004
64,0,,,73.1,4006
65,1,RIP,D,26.8,4014
65,1,STR,D,43.5,4017
65,1,RIP,D,44.7,4020
65,1,STR,D,45.6,4023
65,2,RIP,D,44.5,4019
65,2,RIP,U,46.3,4025
65,2,RIP,U,50.2,4030
65,2,RIP,D,51,4032
65,2,STR,U,52,4034
65,2,STR,D,53.1,4036
65,2,STR,D,54.3,4038
65,2,STR,U,55.4,4039
65,3,STR,U,2.2,4007
65,3,STR,U,12.7,4008
65,3,STR,D,17.2,4009
65,3,STR,D,28.8,4015
65,3,RIP,U,43,4016
65,3,RIP,D,46.9,4026
65,3,RIP,D,51.6,4033
65,3,RIP,U,52.7,4035
65,4,STR,U,17.2,4010
65,4,STR,D,22.1,4011
65,4,STR,U,22.5,4012
65,4,STR,D,22.8,4013
65,4,RIP,U,43.8,4018
65,4,RIP,D,44.9,4021
65,4,RIP,D,46,4024
65,4,RIP,U,50.3,4031
66,1,RIP,D,56.9,4042
66,1,RIP,D,58.1,4045
66,1,RIP,U,60.6,4051
66,1,STR,U,61.5,4055
66,1,STR,U,61.6,4057
66,1,RIP,U,62.6,4058
66,1,STR,D,63,4059
66,1,STR,D,66.3,4066
66,2,STR,D,57,4043
66,2,RIP,U,59.2,4047
66,2,STR,U,60.1,4050
66,2,STR,D,60.9,4052
66,2,RIP,D,61.4,4054
66,2,RIP,U,65.3,4064
66,2,RIP,D,67.3,4067
66,2,STR,U,70.2,4074
66,3,RIP,D,54.3,4040
66,3,RIP,D,56.8,4041
66,3,RIP,U,59.2,4048
66,3,STR,D,59.5,4049
66,3,RIP,U,63.3,4060
66,3,STR,U,64.4,4062
66,3,STR,U,67.3,4068
66,3,STR,D,75.7,4076
66,4,RIP,U,57.3,4044
66,4,STR,U,61.3,4053
66,4,RIP,D,61.5,4056
66,4,STR,D,64.4,4063
66,4,STR,D,66.1,4065
66,4,STR,U,67.9,4070
66,4,RIP,D,68,4071
66,4,RIP,U,69.6,4072
66,0,,,58.6,4046
66,0,,,63.4,4061
66,0,,,67.4,4069
66,0,,,69.7,4073
66,0,,,70.8,4075
67,1,RIP,D,15.1,4079
67,1,RIP,D,18,4080
67,1,STR,U,53,4085
67,1,STR,U,60.4,4087
67,1,RIP,U,68.6,4091
67,1,RIP,U,71.9,4093
67,2,RIP,D,8.7,4077
67,2,RIP,D,12.3,4078
67,2,RIP,U,31.3,4082
67,2,RIP,U,44.7,4084
67,3,RIP,D,31.3,4083
67,4,RIP,U,31.2,4081
67,4,RIP,U,56.9,4086
67,0,,,63.2,4088
67,0,,,66.6,4089
67,0,,,68,4090
67,0,,,70.4,4092
67,0,,,73.2,4094
68,1,STR,B,21.4,4095
68,1,STR,A,22.7,4096
68,1,STR,B,27.4,4097
68,1,STR,A,30.7,4098
68,1,RIP,A,60.6,4099
68,1,RIP,B,69.4,4100
68,1,RIP,A,74,4101
68,1,RIP,B,78.7,4102
68,2,STR,B,2.7,4103
68,2,STR,B,4.1,4104
68,2,STR,A,5,4105
68,2,STR,A,18.1,4111
68,2,RIP,A,43.9,4112
68,2,RIP,B,66.9,4115
68,2,RIP,A,74,4119
68,2,RIP,B,80.9,4125
68,3,STR,A,59.4,4113
68,3,STR,A,69.4,4116
68,3,STR,B,69.6,4117
68,3,RIP,A,72.7,4118
68,3,RIP,A,76.8,4121
68,3,RIP,B,77.5,4122
68,3,RIP,B,78.7,4123
68,3,STR,B,80,4124
68,4,STR,B,8.8,4106
68,4,STR,A,9.5,4107
68,4,STR,A,12.2,4108
68,4,STR,B,17.1,4109
68,4,RIP,B,18.1,4110
68,4,RIP,A,62.6,4114
68,4,RIP,B,74.1,4120
69,1,STR,D,45.1,4130
69,1,STR,D,46.3,4131
69,1,RIP,D,56,4132
69,1,STR,U,57.7,4134
69,1,RIP,U,58.5,4137
69,1,STR,U,65,4150
69,1,RIP,D,65.5,4152
69,1,RIP,U,66.2,4156
69,2,RIP,U,58.1,4135
69,2,RIP,D,58.4,4136
69,2,STR,D,59.9,4138
69,2,STR,U,60.8,4140
69,2,STR,D,62,4145
69,2,RIP,D,66,4154
69,2,STR,U,67.5,4158
69,2,RIP,U,70,4161
69,3,RIP,D,61.2,4143
69,3,STR,D,62.9,4146
69,3,STR,D,63.3,4147
69,3,RIP,U,64.5,4148
69,3,RIP,D,64.9,4149
69,3,RIP,U,65.4,4151
69,3,STR,U,66.2,4157
69,3,STR,U,68.8,4159
69,4,STR,U,26.8,4126
69,4,STR,D,28.2,4127
69,4,STR,U,28.6,4128
69,4,STR,D,28.8,4129
69,4,RIP,D,57.6,4133
69,4,RIP,U,60.8,4141
69,4,RIP,D,60.9,4142
69,4,RIP,U,61.9,4144
69,0,,,60,4139
69,0,,,65.9,4153
69,0,,,66.1,4155
69,0,,,68.9,4160
69,0,,,70.5,4162
70,1,STR,D,14.7,4165
70,1,STR,D,16.9,4167
70,1,STR,U,20,4169
70,1,STR,U,27.9,4173
70,1,RIP,D,45.2,4185
70,1,RIP,D,46.7,4187
70,1,RIP,U,48.2,4192
70,1,RIP,U,48.9,4193
70,2,STR,U,25.4,4171
70,2,STR,U,29,4174
70,2,STR,D,30,4175
70,2,STR,D,31.9,4176
70,2,RIP,U,43,4182
70,2,RIP,D,44.2,4184
70,2,RIP,D,47.2,4188
70,2,RIP,U,48.1,4191
70,3,STR,D,16.2,4166
70,3,STR,U,17.2,4168
70,3,STR,U,22,4170
70,3,STR,D,25.5,4172
70,3,RIP,U,38.5,4179
70,3,RIP,U,42.9,4181
70,3,RIP,D,44.1,4183
70,3,RIP,D,47.5,4189
70,4,STR,U,4.1,4163
70,4,STR,U,9.3,4164
70,4,RIP,U,36.1,4177
70,4,RIP,U,37,4178
70,4,RIP,D,42.5,4180
70,4,RIP,D,47.6,4190
71,1,STR,D,16.5,4202
71,1,STR,D,20.3,4206
71,1,RIP,D,36.6,4215
71,1,STR,U,47.5,4220
71,1,RIP,D,47.7,4221
71,1,STR,U,53.1,4222
71,1,RIP,U,60.3,4226
71,1,RIP,U,73.5,4235
71,2,STR,U,19.7,4205
71,2,STR,U,23.8,4209
71,2,STR,D,34.1,4211
71,2,RIP,U,35.1,4212
71,2,STR,D,36.3,4214
71,2,RIP,D,38.7,4216
71,2,RIP,D,45.5,4219
71,2,RIP,U,53.8,4223
71,3,STR,U,7.8,4198
71,3,STR,U,14.9,4201
71,3,STR,D,18.1,4203
71,3,STR,D,18.6,4204
71,3,RIP,D,55,4224
71,3,RIP,U,55.8,4225
71,3,RIP,U,62.9,4227
71,3,RIP,D,69.1,4233
71,4,STR,U,11.8,4199
71,4,STR,U,12.2,4200
71,4,RIP,U,22.3,4207
71,4,RIP,U,23.1,4208
71,4,STR,D,28.7,4210
71,4,RIP,D,36.1,4213
71,4,RIP,D,38.9,4217
71,4,STR,D,40.9,4218
71,0,,,64.1,4228
71,0,,,66.5,4229
71,0,,,67,4230
71,0,,,67.4,4231
71,0,,,67.8,4232
71,0,,,70.7,4234
72,1,STR,D,1.8,4275
72,1,STR,U,2.9,4277
72,1,STR,U,3,4278
72,1,STR,D,3.2,4279
72,1,RIP,U,57.5,4321
72,1,RIP,U,57.5,4322
72,1,RIP,D,59.4,4325
72,1,RIP,D,65,4334
72,2,STR,U,15.6,4288
72,2,STR,U,20,4291
72,2,STR,D,23.2,4298
72,2,STR,D,25.7,4301
72,2,RIP,U,32.2,4305
72,2,RIP,U,56.1,4317
72,2,RIP,D,57.2,4320
72,2,RIP,D,64.4,4332
72,3,STR,U,11,4283
72,3,STR,U,15.8,4289
72,3,STR,D,25.8,4302
72,3,STR,D,40.4,4308
72,3,RIP,U,49.9,4311
72,3,RIP,U,58.5,4323
72,3,RIP,D,60,4326
72,3,RIP,D,63.2,4331
72,4,STR,U,1.1,4273
72,4,STR,D,1.7,4274
72,4,STR,D,1.9,4276
72,4,RIP,D,62.5,4329
72,4,RIP,D,66,4336
72,5,STR,U,8,4281
72,5,STR,U,11.4,4285
72,5,RIP,U,31.9,4304
72,5,RIP,U,53.4,4314
72,5,RIP,D,56.8,4318
72,5,RIP,D,61.6,4328
72,6,STR,D,7.6,4280
72,6,STR,U,9.3,4282
72,6,STR,U,11.6,4286
72,6,STR,D,15.1,4287
72,6,RIP,U,20.4,4293
72,6,RIP,U,50.2,4312
72,6,RIP,D,51.9,4313
72,6,RIP,D,65.7,4335
72,7,STR,D,22.2,4297
72,7,STR,D,25.2,4300
72,7,STR,U,40.3,4307
72,7,STR,U,40.5,4309
72,7,RIP,D,48.7,4310
72,7,RIP,D,55,4316
72,7,RIP,U,57,4319
72,7,RIP,U,62.7,4330
72,8,STR,U,18.2,4290
72,8,STR,U,20.4,4294
72,8,STR,D,21.3,4295
72,8,STR,D,30.7,4303
72,8,RIP,D,54,4315
72,8,RIP,U,59.3,4324
72,8,RIP,D,66.1,4337
72,8,RIP,U,67.1,4339
72,9,STR,D,11.1,4284
72,9,STR,D,20,4292
72,9,STR,U,21.3,4296
72,9,STR,U,23.6,4299
72,9,RIP,U,38.4,4306
72,9,RIP,D,60.1,4327
72,9,RIP,U,64.4,4333
72,9,RIP,D,66.7,4338
73,1,STR,D,9.5,4344
73,1,STR,U,14.8,4349
73,1,STR,D,15.4,4350
73,1,STR,U,17.7,4351
73,1,RIP,U,26.5,4353
73,1,RIP,U,30.9,4355
73,1,RIP,D,39.9,4361
73,1,RIP,D,44,4364
73,2,STR,D,7.4,4342
73,2,STR,D,10.4,4345
73,2,STR,U,14.3,4347
73,2,STR,U,14.7,4348
73,2,RIP,D,34.2,4356
73,2,RIP,U,37.6,4358
73,2,RIP,D,38,4359
73,2,RIP,U,46,4367
73,3,STR,U,2,4340
73,3,STR,U,2.8,4341
73,3,STR,D,8,4343
73,3,STR,D,11.6,4346
73,3,RIP,D,24.9,4352
73,3,RIP,U,36.5,4357
73,3,RIP,D,45.7,4366
73,3,RIP,U,49,4370
73,4,STR,U,28.7,4354
73,4,RIP,D,38.5,4360
73,4,RIP,U,45.5,4365
73,4,RIP,U,47.1,4368
73,4,RIP,D,52.2,4373
73,4,STR,D,53.2,4374
73,4,STR,D,54.6,4375
73,4,STR,U,68.7,4376
74,1,RIP,U,3.1,4417
74,1,STR,U,4.3,4419
74,1,RIP,U,5.6,4423
74,1,STR,D,12.3,4429
74,1,RIP,D,16,4430
74,1,STR,D,20.1,4434
74,1,RIP,D,24.6,4436
74,2,STR,D,3,4416
74,2,RIP,D,10.3,4427
74,2,RIP,D,18.2,4431
74,2,RIP,U,18.7,4432
74,2,RIP,U,19.2,4433
74,3,STR,U,0.4,4414
74,3,STR,U,3.5,4418
74,3,STR,D,4.3,4420
74,3,RIP,U,5.8,4424
74,3,RIP,U,7.2,4425
74,3,RIP,D,8.5,4426
74,3,STR,D,11.2,4428
74,3,RIP,D,23.4,4435
74,4,STR,U,2.7,4415
74,4,STR,U,4.8,4421
74,4,STR,D,5,4422
74,4,RIP,U,25,4437
74,4,RIP,D,26.9,4438
74,4,RIP,U,28.4,4439
74,4,RIP,D,28.4,4440
74,0,,,64.9,4441
74,0,,,65.5,4442
74,0,,,70.9,4443
74,0,,,72.9,4444
74,0,,,75.9,4445
75,1,STR,U,9.7,4446
75,1,STR,D,9.7,4447
75,1,STR,U,10.5,4448
75,1,STR,D,12.1,4449
75,1,RIP,U,46.5,4463
75,1,RIP,U,49.5,4471
75,1,RIP,D,53.7,4479
75,1,RIP,D,56.6,4481
75,2,STR,D,30.1,4450
75,2,STR,D,36.7,4451
75,2,STR,U,41.8,4455
75,2,RIP,U,45.7,4461
75,2,RIP,D,46.8,4465
75,2,STR,U,48.7,4467
75,2,RIP,D,49.8,4472
75,2,RIP,U,51.4,4475
75,3,STR,D,38.8,4453
75,3,RIP,U,40.2,4454
75,3,STR,D,43.5,4457
75,3,RIP,D,46.7,4464
75,3,STR,U,49,4468
75,3,RIP,U,49.1,4469
75,3,STR,U,51.7,4478
75,4,STR,D,37.2,4452
75,4,RIP,D,42.9,4456
75,4,STR,U,43.9,4458
75,4,RIP,U,44.7,4459
75,4,STR,D,45,4460
75,4,RIP,U,49.4,4470
75,4,RIP,D,51.4,4476
75,4,STR,U,51.4,4477
76,1,STR,U,16,4486
76,1,STR,U,23,4487
76,1,STR,D,25,4488
76,1,STR,D,26.6,4491
76,1,RIP,D,42.1,4496
76,1,RIP,U,44.6,4504
76,1,RIP,D,45.2,4507
76,1,RIP,U,47.2,4509
76,2,STR,U,26.3,4489
76,2,STR,D,26.3,4490
76,2,RIP,U,43.3,4499
76,2,STR,U,43.9,4500
76,2,STR,D,43.9,4501
76,2,RIP,D,44,4503
76,2,RIP,U,48,4512
76,2,RIP,D,48,4513
76,3,STR,U,2.1,4482
76,3,STR,U,2.8,4483
76,3,STR,D,6.3,4484
76,3,STR,D,6.4,4485
76,3,RIP,U,40.9,4495
76,3,RIP,U,47.7,4511
76,3,RIP,D,48.1,4514
76,3,RIP,D,50.3,4517
76,4,STR,U,36.1,4492
76,4,RIP,U,39.7,4493
76,4,STR,D,40.3,4494
76,4,STR,U,42.5,4497
76,4,STR,D,44.7,4505
76,4,RIP,D,49.2,4515
76,4,RIP,D,50.1,4516
76,4,RIP,U,50.4,4518
77,1,STR,U,1.1,4593
77,1,STR,U,3.3,4594
77,1,STR,D,17,4595
77,1,STR,D,19.6,4597
77,1,RIP,U,42.4,4601
77,1,RIP,U,45.4,4603
77,1,RIP,D,47.6,4606
77,1,RIP,D,52,4609
77,2,STR,U,46.2,4605
77,2,STR,D,52.3,4610
77,2,STR,D,53.8,4612
77,2,STR,U,58.8,4614
77,2,RIP,D,59.3,4615
77,2,RIP,D,59.4,4616
77,2,RIP,U,63,4621
77,2,RIP,U,64.1,4622
77,3,STR,D,36,4599
77,3,STR,D,48.8,4607
77,3,STR,U,49.1,4608
77,3,STR,U,53.3,4611
77,3,RIP,U,60.3,4617
77,3,RIP,U,62.1,4619
77,3,RIP,D,64.3,4623
77,3,RIP,D,64.5,4624
77,4,STR,U,17.8,4596
77,4,STR,U,24.5,4598
77,4,STR,D,36.3,4600
77,4,RIP,D,43.2,4602
77,4,STR,D,45.9,4604
77,4,RIP,D,57.8,4613
77,4,RIP,U,61.8,4618
77,4,RIP,U,62.2,4620
77,0,,,71.4,4625
77,0,,,73.7,4626
77,0,,,73.8,4627
77,0,,,76.6,4628
77,0,,,79.5,4629
78,1,STR,U,10.6,4631
78,1,STR,U,20.7,4634
78,1,STR,D,28.9,4638
78,1,STR,D,31.6,4639
78,1,RIP,D,33.2,4641
78,1,RIP,D,45.3,4648
78,1,RIP,U,54.7,4656
78,2,RIP,U,12,4633
78,2,RIP,D,34.8,4642
78,2,STR,D,44,4646
78,2,RIP,D,44.4,4647
78,2,STR,U,49.8,4653
78,2,STR,U,50.3,4655
78,2,RIP,U,55.3,4657
78,2,STR,D,56.3,4658
78,3,STR,D,9.7,4630
78,3,STR,D,11.2,4632
78,3,STR,U,21.2,4635
78,3,STR,U,21.9,4636
78,3,RIP,U,28.1,4637
78,3,RIP,U,38.7,4643
78,3,RIP,D,39.3,4644
78,3,RIP,D,47.2,4651
78,4,RIP,D,32.1,4640
78,4,STR,D,41,4645
78,4,STR,D,45.5,4649
78,4,RIP,U,46.5,4650
78,4,RIP,D,47.4,4652
78,4,RIP,U,49.8,4654
78,0,,,56.3,4659
78,0,,,61.2,4660
78,0,,,62.8,4661
78,0,,,65.9,4662
78,0,,,66,4663
79,1,STR,U,4,4690
79,1,STR,U,5,4691
79,1,STR,D,5.7,4692
79,1,STR,D,6.8,4694
79,1,RIP,U,53.6,4699
79,1,RIP,D,58,4704
79,1,RIP,D,64.8,4712
79,1,RIP,U,66.9,4719
79,2,STR,D,5.8,4693
79,2,STR,U,10.2,4695
79,2,STR,U,16.2,4696
79,2,STR,D,26,4697
79,2,RIP,D,54.3,4700
79,2,RIP,D,61.2,4708
79,2,RIP,U,62.2,4709
79,2,RIP,U,65.6,4717
79,3,STR,D,57.7,4702
79,3,STR,D,57.8,4703
79,3,RIP,U,65.2,4715
79,3,RIP,D,65.5,4716
79,3,RIP,D,67.2,4720
79,3,RIP,U,68.7,4722
79,4,RIP,U,52.5,4698
79,4,STR,D,54.4,4701
79,4,RIP,D,60.2,4705
79,4,STR,D,60.6,4706
79,4,RIP,D,60.7,4707
79,4,STR,U,62.8,4710
79,4,STR,U,64.5,4711
79,0,,,65,4713
79,0,,,65.1,4714
79,0,,,66.3,4718
79,0,,,67.6,4721
80,1,RIP,U,16.4,4724
80,1,RIP,U,21.7,4725
80,1,STR,U,39.2,4739
80,1,STR,U,46.8,4741
80,1,STR,D,48.1,4743
80,1,RIP,D,48.3,4744
80,1,STR,D,49.2,4745
80,1,RIP,D,59,4752
80,2,STR,D,30.8,4728
80,2,STR,D,36.4,4735
80,2,STR,U,36.5,4736
80,2,STR,U,45.6,4740
80,2,RIP,D,47.1,4742
80,2,RIP,U,56.5,4751
80,2,RIP,U,60.3,4754
80,2,RIP,D,60.5,4755
80,3,STR,D,27.9,4726
80,3,STR,U,30.4,4727
80,3,STR,U,32.4,4730
80,3,STR,D,34.2,4731
80,3,RIP,D,39.1,4738
80,3,RIP,U,54.3,4747
80,3,RIP,U,55.3,4748
80,3,RIP,D,55.4,4749
80,4,STR,D,32.1,4729
80,4,STR,U,34.5,4732
80,4,STR,D,35.5,4733
80,4,STR,U,35.6,4734
80,4,RIP,U,38.8,4737
80,4,RIP,D,53.3,4746
80,4,RIP,D,60.1,4753
80,4,RIP,U,62,4758
80,0,,,55.9,4750
80,0,,,61.5,4756
80,0,,,61.7,4757
80,0,,,63.2,4759
80,0,,,66.3,4760
81,1,STR,D,32.9,4773
81,1,STR,D,39.4,4774
81,1,STR,U,51.8,4777
81,1,STR,U,54.1,4778
81,1,RIP,D,57.3,4781
81,1,RIP,U,62.5,4786
81,1,RIP,D,64.8,4793
81,1,RIP,U,65.4,4795
81,2,STR,D,2.4,4761
81,2,STR,U,4.9,4763
81,2,STR,D,7.4,4765
81,2,STR,U,15.6,4768
81,2,RIP,U,57,4780
81,2,RIP,D,61.7,4784
81,2,RIP,D,62.3,4785
81,2,RIP,U,70.5,4797
81,3,STR,U,5.7,4764
81,3,STR,D,11.7,4766
81,3,STR,U,15,4767
81,3,STR,D,17.5,4769
81,3,RIP,D,48,4776
81,3,RIP,U,54.2,4779
81,3,RIP,D,60.4,4783
